(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/22/2023 11:31:40 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (775, 775)
(12/22/2023 11:31:40 AM) |> method; (PlayerClass.UpdatePoints) [175]
(12/22/2023 11:31:40 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:40 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (yellow 4; 4 Points
(12/22/2023 11:31:40 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:40 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-1)
(12/22/2023 11:31:40 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-10)
(12/22/2023 11:31:40 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (7), Added; (yellow 4; 4 Points)
(12/22/2023 11:31:40 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:40 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (4)
    PlusAmount (0)
    Discard Pile Count; (7), Top Card; (yellow 4; 4 Points)
(12/22/2023 11:31:40 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (5)
    PlusAmount (0)
    Discard Pile Count; (7), Top Card; (yellow 4; 4 Points)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (1)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (4), error
(12/22/2023 11:31:42 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (1), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 4), Player Index (1)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.UpdatePoints) [110]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 4; 4 Points
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (775, 775)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.UpdatePoints) [194]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 4; 4 Points
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:42 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (5)
(12/22/2023 11:31:42 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (1)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (8), Added; (red 4; 4 Points)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 4; 4 Points
(12/22/2023 11:31:42 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 1), Value; (0)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:42 AM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (2), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 0
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (2), error
(12/22/2023 11:31:42 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 2), Player Index (0)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.UpdatePoints) [119]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 2; 2 Points
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:31:42 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.UpdatePoints) [211]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 2; 2 Points
(12/22/2023 11:31:42 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:42 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-8)
(12/22/2023 11:31:42 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-1)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (9), Added; (red 2; 2 Points)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (3)
Player1 CardCount; (3)
    PlusAmount (0)
    Discard Pile Count; (9), Top Card; (red 2; 2 Points)
(12/22/2023 11:31:42 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (3)
Player1 CardCount; (4)
    PlusAmount (0)
    Discard Pile Count; (9), Top Card; (red 2; 2 Points)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (1)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.CardPlay), c_card; (red) (6), error
(12/22/2023 11:31:45 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (1), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 6), Player Index (1)
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:45 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:45 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.UpdatePoints) [122]
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 6; 6 Points
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:45 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/22/2023 11:31:45 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:31:45 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.UpdatePoints) [228]
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 6; 6 Points
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:45 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (6)
(12/22/2023 11:31:45 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (5)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (10), Added; (red 6; 6 Points)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 6; 6 Points
(12/22/2023 11:31:45 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 1), Value; (0)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:45 AM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (2), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 0
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (6), error
(12/22/2023 11:31:45 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:45 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 6), Player Index (0)
(12/22/2023 11:31:45 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:45 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:46 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.UpdatePoints) [125]
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 6; 6 Points
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:46 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:46 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.UpdatePoints) [239]
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 6; 6 Points
(12/22/2023 11:31:46 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:46 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (0)
(12/22/2023 11:31:46 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-7)
(12/22/2023 11:31:46 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (11), Added; (blue 6; 6 Points)
(12/22/2023 11:31:46 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:46 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (2)
Player1 CardCount; (2)
    PlusAmount (0)
    Discard Pile Count; (11), Top Card; (blue 6; 6 Points)
(12/22/2023 11:31:46 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (2)
Player1 CardCount; (3)
    PlusAmount (0)
    Discard Pile Count; (11), Top Card; (blue 6; 6 Points)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.DrawPile_Clicked)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:31:48 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 92), Value; (49)
(12/22/2023 11:31:48 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (1), add one
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.UpdatePoints) [148]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 6; 6 Points
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (720, 720)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.UpdatePoints) [250]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 6; 6 Points
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (11), Added; (Nothing)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 6; 6 Points
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:48 AM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (1), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 0
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (8), error
(12/22/2023 11:31:48 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 8), Player Index (0)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (750, 750)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.UpdatePoints) [171]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 8; 8 Points
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:48 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (695, 695)
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.UpdatePoints) [253]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (), Top deck (blue 8; 8 Points
(12/22/2023 11:31:48 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:31:48 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-3)
(12/22/2023 11:31:48 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-5)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (12), Added; (blue 8; 8 Points)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (3)
Player1 CardCount; (1)
    PlusAmount (0)
    Discard Pile Count; (12), Top Card; (blue 8; 8 Points)
(12/22/2023 11:31:48 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (3)
Player1 CardCount; (2)
    PlusAmount (0)
    Discard Pile Count; (12), Top Card; (blue 8; 8 Points)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DrawPile_Clicked)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:31:54 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 91), Value; (82)
(12/22/2023 11:31:54 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/22/2023 11:31:54 AM) |> method; (GameLogicClass.DrawPileClickLogic), Player index; (1), add one
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 740)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 740)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (775, 775)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.UpdatePoints) [214]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 8; 8 Points
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:31:54 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (695, 695)
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.UpdatePoints) [256]
(12/22/2023 11:31:54 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
